#qubits,#cycles,circuit,#nodes,#tasks,#threads,#samples,#iterations,#initialHidden,#sampleSteps,run,#hadamards,tvd,f_xeb,duration,success
4,5,0,1,1,1,50,10000,6,0,0,0,0.655994,1.871000,463.630957,True
4,5,0,1,1,1,50,10000,6,0,1,0,0.750000,1.959000,446.746157,True
4,5,0,1,1,1,50,10000,6,0,2,0,0.968750,1.609000,449.058908,True
4,5,0,1,1,1,50,10000,6,0,3,0,0.324122,2.133000,442.475197,True
4,5,0,1,1,1,50,10000,6,0,4,0,0.671507,2.376000,453.796217,True
4,5,0,1,1,1,50,100000,6,0,0,0,0.322532,2.374000,4501.010949,True
4,5,0,1,1,1,50,100000,6,0,1,0,-,-,-,False
4,5,0,1,1,1,50,100000,6,0,2,0,0.688806,2.042000,4473.542902,True
4,5,0,1,1,1,50,100000,6,0,3,0,-,-,-,False
4,5,0,1,1,1,50,100000,6,0,4,0,-,-,-,False
4,5,0,1,1,1,47,1000,6,0,0,0,0.469494,2.126000,42.765368,True
4,5,0,1,1,1,47,1000,6,0,1,0,0.446636,2.112000,44.065511,True
4,5,0,1,1,1,47,1000,6,0,2,0,0.226612,2.061000,43.801305,True
4,5,0,1,1,1,47,1000,6,0,3,0,0.432402,2.022000,43.780920,True
4,5,0,1,1,1,47,1000,6,0,4,0,0.367533,2.026000,43.031943,True
4,5,0,1,1,1,47,10000,6,0,0,0,0.687883,2.015000,434.394509,True
4,5,0,1,1,1,47,10000,6,0,1,0,0.875000,2.155000,430.810843,True
4,5,0,1,1,1,47,10000,6,0,2,0,0.625000,2.374000,427.863538,True
4,5,0,1,1,1,47,10000,6,0,3,0,0.906250,2.366000,421.872534,True
4,5,0,1,1,1,47,10000,6,0,4,0,0.502042,1.860000,436.833542,True
4,5,0,1,1,1,47,100000,6,0,0,0,0.906250,2.387000,4272.843273,True
4,5,0,1,1,1,47,100000,6,0,1,0,-,-,-,False
4,5,0,1,1,1,47,100000,6,0,2,0,-,-,-,False
4,5,0,1,1,1,47,100000,6,0,3,0,-,-,-,False
4,5,0,1,1,1,47,100000,6,0,4,0,0.292536,2.136000,4265.582177,True
4,5,0,1,1,1,43,1000,6,0,0,0,0.381804,2.147000,40.942896,True
4,5,0,1,1,1,43,1000,6,0,1,0,0.419211,1.945000,40.581922,True
4,5,0,1,1,1,43,1000,6,0,2,0,0.395919,1.950000,42.770367,True
4,5,0,1,1,1,43,1000,6,0,3,0,0.500081,1.891000,41.700319,True
4,5,0,1,1,1,43,1000,6,0,4,0,0.526390,1.847000,39.905618,True
4,5,0,1,1,1,43,10000,6,0,0,0,0.739347,2.338000,407.893634,True
4,5,0,1,1,1,43,10000,6,0,1,0,-,-,-,False
4,5,0,1,1,1,43,10000,6,0,2,0,0.812500,2.375000,391.072216,True
4,5,0,1,1,1,43,10000,6,0,3,0,0.371148,2.380000,407.386405,True
4,5,0,1,1,1,43,10000,6,0,4,0,0.875000,1.728000,402.400596,True
4,5,0,1,1,1,43,100000,6,0,0,0,-,-,-,False
4,5,0,1,1,1,43,100000,6,0,1,0,0.812500,2.383000,4037.332996,True
4,5,0,1,1,1,43,100000,6,0,2,0,0.500000,2.182000,4072.749856,True
4,5,0,1,1,1,43,100000,6,0,3,0,-,-,-,False
4,5,0,1,1,1,43,100000,6,0,4,0,-,-,-,False
4,5,1,1,1,1,8,1000,6,0,0,0,0.664568,2.490000,15.835133,True
4,5,1,1,1,1,8,1000,6,0,1,0,0.805870,2.325000,15.565590,True
4,5,1,1,1,1,8,1000,6,0,2,0,0.761346,2.050000,15.096164,True
4,5,1,1,1,1,8,1000,6,0,3,0,0.768801,1.714000,15.617357,True
